"Type","Status","Campaign","Campaign Daily Budget","Campaign Type","Bid Strategy Type","Networks","Languages","Ad Group","Default Max CPC","Keyword","Match Type","Final URL","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Headline 13","Headline 14","Headline 15","Headline 1 position","Headline 2 position","Headline 3 position","Headline 4 position","Headline 5 position","Headline 6 position","Headline 7 position","Headline 8 position","Headline 9 position","Headline 10 position","Headline 11 position","Headline 12 position","Headline 13 position","Headline 14 position","Headline 15 position","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2"
"Keyword","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","pet health plan","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","vet near me","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","veterinarian near me","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","animal hospital near me","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","dog vet near me","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","cat vet near me","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","vet clinic near me","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","vet near me","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","veterinarian near me","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","","vet clifton nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","","veterinarian clifton nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","","animal hospital clifton nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","","vet clifton","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","","vet clifton nj","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","","veterinarian clifton nj","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","dog vet membership","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","unlimited dog vet care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","dog vet subscription","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","puppy vet plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","dog health plan nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","dog vet nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","dog vet membership","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","dog vet nj","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","cat vet membership","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","unlimited cat vet care","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","cat vet subscription","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","kitten vet plan","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","cat health plan nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","cat vet nj","Phrase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","cat vet membership","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Keyword","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","cat vet nj","Exact","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Responsive Search Ad","Enabled","Brand — Snoots Vet","","","","","","Snoots Brand","","","","https://joinsnoots.com","Snoots Vet — Official Site","Unlimited Vet Care for $55/Mo","Join Snoots Today","The Unlimited Vet Membership","No Copays. No Surprise Bills.","All Vaccines & Diagnostics Included","Flat-Fee Vet Care in New Jersey","4.9★ Rated Vet in New Jersey","Founding Members Save 25%","Unlimited Visits. One Low Fee.","Dogs & Cats Welcome","Clifton, NJ — Book Today","Telehealth + In-Clinic Included","No Pre-Existing Condition Limits","Official Snoots Membership Page","1","","","","","","","","","","","","","","","Skip the surprise vet bills. Snoots members get unlimited consultations, all vaccines, bloodwork & telehealth for $55/month.","Unlike pet insurance, Snoots is a vet membership — no copays, no deductibles, no claim forms. Just bring your pet in, any time.","New Jersey's first unlimited vet membership. Founding members save 25% on their first 12 months. Dogs & cats welcome in Clifton, NJ.","8,000+ pets served. 4.9-star Google rating. Unlimited primary care including vaccines, diagnostics, dental & telehealth — join today.","joinsnoots.com","Join"
"Responsive Search Ad","Enabled","NB — Unlimited Vet Membership","","","","","","Unlimited Vet Care","","","","https://joinsnoots.com/members","Unlimited Vet Care — $55/Month","One Flat Fee. Unlimited Visits.","Vet Membership — No Copays","All Vaccines & Bloodwork Included","No Surprise Vet Bills. Ever.","The Unlimited Vet for $55/Mo","Skip Pet Insurance — Join Snoots","Flat-Fee Vet in New Jersey","Unlimited Telehealth + In-Clinic","4.9★ Rated — 8,000+ Pets Served","New Jersey's Unlimited Vet","Dogs & Cats Welcome","Founding Members Save 25%","Cancel Anytime. No Lock-In.","Join Snoots — Book Online Today","","","","","","","","","","","","","","","","Snoots is a vet membership that covers unlimited consultations, all vaccines, diagnostics, telehealth and routine care for $55/month — no copays, ever.","Unlike pet insurance, there are no copays, deductibles or claim forms. Pay $55/month and bring your dog or cat in as often as you need.","New Jersey's first unlimited vet membership. Founding members get 25% off their first 12 months. Serving dogs & cats in Clifton, NJ.","Includes unlimited in-person visits, telehealth, bloodwork, imaging, dental cleaning & all vaccinations. One flat fee — no hidden costs.","joinsnoots.com","Unlimited-Vet"
"Responsive Search Ad","Enabled","NB — Unlimited Vet Membership","","","","","","Affordable Vet Plan","","","","https://joinsnoots.com/members","Affordable Vet Care — $55/Month","One Flat Fee. No Surprise Bills.","Low Cost Vet Membership in NJ","All Vet Care — One Monthly Fee","Unlimited Visits for $55/Month","Stop Overpaying for Vet Bills","Vaccines, Bloodwork & More Included","The Smarter Way to Pay for Vet Care","4.9★ Vet — 8,000+ Happy Pets","Serving Dogs & Cats in NJ","Flat-Fee Vet — No Copays","Founding Member Discount — 25% Off","Telehealth + In-Clinic Visits","Monthly or Annual Plans Available","Join Snoots Vet — Book Today","","","","","","","","","","","","","","","","Tired of unpredictable vet bills? Snoots members pay $55/month and get unlimited vet visits, all vaccines, bloodwork & telehealth — no extra charges.","Snoots is New Jersey's flat-fee vet membership. No copays, no deductibles, no surprise invoices. Just unlimited primary care for your pet.","Dogs and cats get unlimited consultations, diagnostics, vaccinations, dental and telehealth — all covered by one $55/month membership.","Join 8,000+ pet owners who switched to Snoots. Founding members lock in 25% off for 12 months. Serving New Jersey from our Clifton clinic.","joinsnoots.com","Affordable-Vet"
"Responsive Search Ad","Enabled","NB — Pet Insurance Alternative","","","","","","Pet Insurance Alternative","","","","https://joinsnoots.com/members","A Better Alternative to Pet Insurance","No Copays. No Deductibles. No Claims.","Unlimited Vet Care — $55/Month","Skip Pet Insurance. Join Snoots.","Pet Health Plan — Flat $55/Month","All Vaccines & Diagnostics Included","Unlimited Visits. One Simple Fee.","No Pre-Existing Condition Limits","Pet Wellness Plan — New Jersey","4.9★ Vet Membership in NJ","Telehealth + In-Clinic — Included","Dogs & Cats — No Exclusions","Monthly or Annual — You Choose","Founding Members Save 25% Today","Join Snoots — New Jersey's Vet","","","","","","","","","","","","","","","","Skip the copays, deductibles and claim forms. Snoots is a vet membership — pay $55/month and get unlimited primary care for your dog or cat.","Unlike pet insurance, Snoots covers preventive care with no pre-existing condition limits. Unlimited consultations, vaccines, bloodwork & more.","Snoots members never pay out-of-pocket for routine vet visits. One flat monthly fee covers everything your pet needs, every time they need it.","New Jersey's first flat-fee vet membership. 4.9 stars, 8,000+ pets served. Founding members get 25% off for 12 months — join today in Clifton, NJ.","joinsnoots.com","Not-Pet-Insurance"
"Responsive Search Ad","Enabled","NB — Local NJ Vet","","","","","","Vet Near Me NJ","","","","https://joinsnoots.com/us","Vet Near You in New Jersey","Unlimited Vet Membership — $55/Mo","4.9★ Vet in Clifton, NJ","No Copays. Unlimited Visits.","All Vaccines & Bloodwork Included","Book a Vet Appointment Today","Serving Dogs & Cats in NJ","One Monthly Fee — No Surprises","Telehealth Available Too","New Jersey's Top-Rated Vet","8,000+ Pets Served","Founding Members Save 25%","Skip Pet Insurance — Join Snoots","Book Online — Same-Week Visits","Clifton, NJ Vet Clinic","","","","","","","","","","","","","","","","Snoots is New Jersey's top-rated vet membership — unlimited visits, all vaccines, telehealth and diagnostics for $55/month. No copays, ever.","A 4.9-star rated vet clinic in Clifton, NJ. Our members get unlimited primary care for one flat monthly fee — dogs and cats welcome.","Stop paying per visit. Join Snoots and get unlimited consultations, vaccines, bloodwork, dental & telehealth — all for $55/month in New Jersey.","Join 8,000+ happy pets at Snoots. Founding members lock in 25% off for their first 12 months. Book online and come in as soon as this week.","joinsnoots.com","Vet-Near-Me"
"Responsive Search Ad","Enabled","NB — Local NJ Vet","","","","","","Vet Clifton NJ","","","","https://joinsnoots.com/us","Vet Near You in New Jersey","Unlimited Vet Membership — $55/Mo","4.9★ Vet in Clifton, NJ","No Copays. Unlimited Visits.","All Vaccines & Bloodwork Included","Book a Vet Appointment Today","Serving Dogs & Cats in NJ","One Monthly Fee — No Surprises","Telehealth Available Too","New Jersey's Top-Rated Vet","8,000+ Pets Served","Founding Members Save 25%","Skip Pet Insurance — Join Snoots","Book Online — Same-Week Visits","Clifton, NJ Vet Clinic","","","","","","","","","","","","","","","","Snoots is New Jersey's top-rated vet membership — unlimited visits, all vaccines, telehealth and diagnostics for $55/month. No copays, ever.","A 4.9-star rated vet clinic in Clifton, NJ. Our members get unlimited primary care for one flat monthly fee — dogs and cats welcome.","Stop paying per visit. Join Snoots and get unlimited consultations, vaccines, bloodwork, dental & telehealth — all for $55/month in New Jersey.","Join 8,000+ happy pets at Snoots. Founding members lock in 25% off for their first 12 months. Book online and come in as soon as this week.","joinsnoots.com","Clifton-NJ"
"Responsive Search Ad","Enabled","NB — Pet-Specific","","","","","","Dog Vet Membership","","","","https://joinsnoots.com/members","Unlimited Dog Vet Care — $55/Mo","Dog Vet Membership in New Jersey","All Dog Vaccines Included","No Copays for Your Dog. Ever.","Unlimited Dog Vet Visits","Dog Wellness Plan — Flat Monthly Fee","Bloodwork & Diagnostics Included","4.9★ Rated Vet — New Jersey","Telehealth for Dogs Too","Puppy & Adult Dogs Welcome","Spay & Neuter Included","Founding Members Save 25%","Skip Pet Insurance for Your Dog","One Fee Covers Everything","Join Snoots — Book Online","","","","","","","","","","","","","","","","Give your dog unlimited vet care for $55/month. Snoots membership includes all vaccinations, bloodwork, diagnostics, telehealth & unlimited visits.","No copays, no surprise vet bills for your dog. Snoots covers all routine and preventive care — spay/neuter, dental, imaging and more included.","New Jersey's top-rated dog vet membership. 4.9 stars. Founding members get 25% off their first 12 months. Puppies and adults welcome in Clifton, NJ.","Join 8,000+ pets on Snoots. Unlimited consultations, all vaccines, bloodwork and telehealth for your dog — one simple $55/month membership.","joinsnoots.com","Dog-Vet"
"Responsive Search Ad","Enabled","NB — Pet-Specific","","","","","","Cat Vet Membership","","","","https://joinsnoots.com/members","Unlimited Cat Vet Care — $55/Mo","Cat Vet Membership in New Jersey","All Cat Vaccines Included","No Copays for Your Cat. Ever.","Unlimited Cat Vet Visits","Cat Wellness Plan — Flat Monthly Fee","Bloodwork & Diagnostics for Cats","4.9★ Rated Vet — New Jersey","Telehealth for Cats Too","Kittens & Adult Cats Welcome","Spay & Neuter Included","Founding Members Save 25%","Skip Pet Insurance for Your Cat","One Fee Covers Everything","Join Snoots — Book Online","","","","","","","","","","","","","","","","Give your cat unlimited vet care for $55/month. Snoots membership includes all vaccinations, bloodwork, diagnostics, telehealth & unlimited visits.","No copays, no surprise vet bills for your cat. Snoots covers all routine and preventive care — spay/neuter, dental, imaging and more included.","New Jersey's top-rated cat vet membership. 4.9 stars. Founding members get 25% off their first 12 months. Kittens and adults welcome in Clifton, NJ.","Join 8,000+ pets on Snoots. Unlimited consultations, all vaccines, bloodwork and telehealth for your cat — one simple $55/month membership.","joinsnoots.com","Cat-Vet"
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots snack","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots candy","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots bar","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots food","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","free snoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots coupon","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots promo code","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots jobs","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots careers","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","Brand — Snoots Vet","","","","","","","","snoots complaints","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","snoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","joinsnoots","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","snootsvet","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campaign Negative Keyword","Enabled","NB — Unlimited Vet Membership","","","","","","","","free","Broad","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
