Campaign,Keyword,Match Type
Search_NB_LocalNJ_MaxConv,24 hour vet,Broad
Search_NB_LocalNJ_MaxConv,overnight vet,Broad
Search_NB_LocalNJ_MaxConv,vet hospital,Broad
Search_NB_PetSpecific_MaxConv,snoots,Broad
Search_NB_PetSpecific_MaxConv,joinsnoots,Broad
Search_NB_PetSpecific_MaxConv,snootsvet,Broad
Search_NB_PetSpecific_MaxConv,free,Broad
Search_NB_PetSpecific_MaxConv,diy,Broad
Search_NB_PetSpecific_MaxConv,home vet,Broad
Search_NB_PetSpecific_MaxConv,jobs,Broad
Search_NB_PetSpecific_MaxConv,careers,Broad
Search_NB_PetSpecific_MaxConv,salary,Broad
Search_NB_PetSpecific_MaxConv,login,Broad
Search_NB_PetSpecific_MaxConv,portal,Broad
Search_NB_PetSpecific_MaxConv,how to become a vet,Broad
Search_NB_PetSpecific_MaxConv,vet school,Broad
Search_NB_PetSpecific_MaxConv,veterinary school,Broad
Search_NB_PetSpecific_MaxConv,vet tech,Broad
Search_NB_PetSpecific_MaxConv,vet assistant,Broad
Search_NB_PetSpecific_MaxConv,vet technician,Broad
Search_NB_PetSpecific_MaxConv,wildlife vet,Broad
Search_NB_PetSpecific_MaxConv,exotic vet,Broad
Search_NB_PetSpecific_MaxConv,emergency vet,Broad
Search_NB_PetSpecific_MaxConv,24 hour vet,Broad
Search_NB_PetSpecific_MaxConv,overnight vet,Broad
Search_NB_PetSpecific_MaxConv,vet hospital,Broad
Search_NB_ProcedureIntent_MaxConv,snoots,Broad
Search_NB_ProcedureIntent_MaxConv,joinsnoots,Broad
Search_NB_ProcedureIntent_MaxConv,snootsvet,Broad
Search_NB_ProcedureIntent_MaxConv,free,Broad
Search_NB_ProcedureIntent_MaxConv,diy,Broad
Search_NB_ProcedureIntent_MaxConv,home vet,Broad
Search_NB_ProcedureIntent_MaxConv,jobs,Broad
Search_NB_ProcedureIntent_MaxConv,careers,Broad
Search_NB_ProcedureIntent_MaxConv,salary,Broad
Search_NB_ProcedureIntent_MaxConv,login,Broad
Search_NB_ProcedureIntent_MaxConv,portal,Broad
Search_NB_ProcedureIntent_MaxConv,how to become a vet,Broad
Search_NB_ProcedureIntent_MaxConv,vet school,Broad
Search_NB_ProcedureIntent_MaxConv,veterinary school,Broad
Search_NB_ProcedureIntent_MaxConv,vet tech,Broad
Search_NB_ProcedureIntent_MaxConv,vet assistant,Broad
Search_NB_ProcedureIntent_MaxConv,vet technician,Broad
Search_NB_ProcedureIntent_MaxConv,wildlife vet,Broad
Search_NB_ProcedureIntent_MaxConv,exotic vet,Broad
Search_NB_ProcedureIntent_MaxConv,emergency vet,Broad
Search_NB_ProcedureIntent_MaxConv,24 hour vet,Broad
Search_NB_ProcedureIntent_MaxConv,overnight vet,Broad
Search_NB_ProcedureIntent_MaxConv,vet hospital,Broad
