Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,heartworm test nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,flea tick prevention vet nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,dog annual exam nj,Exact match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_WellnessExam_MaxConv,cat annual exam nj,Exact match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,dog bloodwork cost nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,dog spay neuter cost nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,dog dental cleaning cost nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,cat spay neuter nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,dog bloodwork nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,cat dental cleaning nj,Phrase match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,dog bloodwork cost nj,Exact match
Keyword,Add,Enabled,Search_NB_ProcedureIntent_MaxConv,Search_NB_Procedures_MaxConv,dog dental cleaning cost nj,Exact match
